30
2
2

14 12
132 130

0 3 3 4 6 15 
1 3 2 3 5 
2 3 3 10 26 27 
3 3 1 7 
4 3 1 9 
5 3 1 10 
6 3 3 8 14 21 
7 3 2 11 14 
8 3 1 12 
9 3 1 23 
10 3 2 16 20 
11 3 3 12 13 20 
12 3 3 22 25 27 
13 3 3 17 18 19 
14 3 3 16 26 28 
15 3 2 19 20 
16 3 1 29 
17 3 2 21 25 
18 3 3 21 22 23 
19 3 3 22 23 24 
20 3 2 24 29 
21 3 2 24 27 
22 3 1 28 
23 3 1 25 
24 3 1 28 
25 3 1 26 
26 3 1 29 
27 3 0 
28 3 0 
29 3 0 

0 1 4 0 2 0 8 
0 2 5 2 0 0 4 
0 3 6 0 2 3 0 
1 1 4 10 0 0 9 
1 2 6 10 0 9 0 
1 3 9 9 0 0 8 
2 1 6 0 6 0 4 
2 2 9 7 0 0 3 
2 3 9 0 3 5 0 
3 1 2 0 8 3 0 
3 2 5 0 6 0 6 
3 3 7 2 0 3 0 
4 1 4 2 0 9 0 
4 2 7 0 6 9 0 
4 3 10 0 6 0 4 
5 1 2 7 0 8 0 
5 2 3 5 0 0 9 
5 3 5 3 0 0 3 
6 1 2 4 0 5 0 
6 2 3 0 6 0 5 
6 3 5 0 5 5 0 
7 1 2 0 4 0 6 
7 2 7 0 3 0 5 
7 3 7 3 0 0 4 
8 1 1 4 0 5 0 
8 2 2 0 5 0 6 
8 3 4 1 0 0 5 
9 1 2 7 0 8 0 
9 2 4 0 9 0 6 
9 3 5 6 0 0 4 
10 1 1 7 0 0 5 
10 2 4 3 0 8 0 
10 3 5 2 0 5 0 
11 1 5 0 9 2 0 
11 2 6 6 0 2 0 
11 3 7 0 9 0 4 
12 1 1 0 9 0 10 
12 2 2 2 0 0 9 
12 3 10 2 0 3 0 
13 1 3 10 0 0 7 
13 2 6 7 0 7 0 
13 3 10 4 0 7 0 
14 1 4 7 0 6 0 
14 2 6 7 0 0 9 
14 3 9 0 10 4 0 
15 1 2 0 8 3 0 
15 2 6 0 2 0 9 
15 3 9 6 0 0 9 
16 1 2 8 0 5 0 
16 2 2 0 7 4 0 
16 3 9 0 4 3 0 
17 1 2 0 7 6 0 
17 2 9 0 4 3 0 
17 3 10 0 3 0 6 
18 1 5 0 3 5 0 
18 2 6 0 2 0 5 
18 3 10 0 2 0 4 
19 1 2 9 0 5 0 
19 2 5 4 0 4 0 
19 3 5 5 0 0 9 
20 1 3 0 6 8 0 
20 2 5 0 6 0 4 
20 3 6 0 4 0 4 
21 1 1 0 8 9 0 
21 2 1 4 0 10 0 
21 3 6 1 0 0 5 
22 1 4 0 7 8 0 
22 2 9 0 7 5 0 
22 3 9 8 0 0 4 
23 1 1 0 5 0 6 
23 2 2 0 3 9 0 
23 3 8 0 1 0 5 
24 1 3 0 6 0 6 
24 2 5 0 4 5 0 
24 3 9 0 3 0 4 
25 1 2 0 4 3 0 
25 2 3 9 0 2 0 
25 3 10 3 0 2 0 
26 1 2 6 0 6 0 
26 2 6 3 0 6 0 
26 3 9 1 0 0 5 
27 1 2 6 0 0 6 
27 2 3 0 5 8 0 
27 3 6 1 0 8 0 
28 1 5 10 0 7 0 
28 2 5 0 8 8 0 
28 3 9 0 8 0 2 
29 1 4 6 0 0 7 
29 2 5 0 4 0 6 
29 3 8 6 0 4 0 

