20	10
80	59	59	31	30	53	93	90	65	64	
13	83	70	64	88	19	79	92	97	38	
64	85	76	11	14	99	88	35	27	44	
77	85	10	9	22	62	77	13	25	46	
17	70	65	32	93	88	94	75	61	66	
78	35	19	58	48	93	39	55	24	31	
82	2	77	98	10	34	74	80	97	48	
4	76	86	95	7	72	46	67	61	27	
72	46	21	25	14	42	17	3	75	82	
93	72	75	4	91	65	30	93	92	51	
68	69	96	45	5	39	62	54	73	90	
25	46	3	60	43	79	77	67	21	63	
67	3	50	87	30	9	43	25	29	85	
80	57	57	31	79	26	98	77	3	36	
43	71	66	1	39	72	48	38	96	69	
93	77	84	96	34	29	14	98	51	67	
21	33	98	22	77	36	45	96	26	81	
33	49	55	95	81	48	25	20	44	18	
14	59	70	73	11	57	98	15	56	81	
30	82	32	77	10	95	30	36	31	72	
