50	5
34	24	20	65	47	
40	85	61	39	62	
22	19	69	68	11	
6	94	28	40	6	
50	59	69	82	21	
64	65	35	31	60	
48	42	17	29	82	
74	8	59	17	2	
67	10	16	69	31	
22	15	54	44	27	
26	96	6	19	81	
13	63	18	29	34	
24	30	2	60	7	
54	20	4	27	6	
22	31	80	93	53	
9	94	45	35	19	
28	35	2	17	28	
48	84	18	1	63	
83	83	83	99	29	
85	53	21	96	34	
79	57	41	1	96	
78	25	51	62	39	
40	71	85	84	19	
15	22	56	42	45	
95	31	88	60	64	
75	35	40	42	72	
73	40	20	66	26	
41	76	16	1	59	
52	14	22	1	51	
71	48	98	31	74	
84	42	56	41	3	
73	11	69	62	11	
25	92	90	83	96	
41	68	9	74	50	
74	55	81	38	23	
15	88	65	56	43	
58	52	38	57	36	
55	36	75	54	52	
47	62	60	45	9	
12	42	81	39	44	
36	51	59	85	32	
48	68	94	40	2	
96	10	3	21	78	
47	38	19	84	83	
64	29	15	17	69	
5	56	29	24	47	
24	23	94	65	17	
78	71	48	98	35	
59	45	39	90	45	
4	98	3	46	30	
