30 2 2

27 27
185 193

0 3 2 3 18 
1 3 2 7 24 
2 3 3 4 5 8 
3 3 3 7 9 20 
4 3 1 6 
5 3 3 10 12 17 
6 3 1 28 
7 3 3 16 17 26 
8 3 3 9 10 15 
9 3 3 11 19 23 
10 3 2 18 22 
11 3 1 13 
12 3 3 14 20 21 
13 3 2 16 17 
14 3 1 22 
15 3 1 29 
16 3 2 27 29 
17 3 1 27 
18 3 2 20 21 
19 3 2 21 24 
20 3 3 23 26 28 
21 3 1 25 
22 3 3 23 24 25 
23 3 1 27 
24 3 1 28 
25 3 1 26 
26 3 1 29 
27 3 0 
28 3 0 
29 3 0 

0 1 2 6 4 5 3 
0 2 5 4 3 4 2 
0 3 8 3 3 4 2 
1 1 1 8 2 9 7 
1 2 1 9 2 8 8 
1 3 8 8 2 7 7 
2 1 3 9 4 5 6 
2 2 3 7 4 5 10 
2 3 8 5 2 2 3 
3 1 1 6 4 6 7 
3 2 5 5 3 5 6 
3 3 9 2 3 2 6 
4 1 3 8 4 10 6 
4 2 3 9 3 10 6 
4 3 6 5 2 10 6 
5 1 1 7 8 10 7 
5 2 8 6 6 9 7 
5 3 9 5 5 9 4 
6 1 1 4 10 6 8 
6 2 3 3 4 4 6 
6 3 3 4 6 4 3 
7 1 5 5 7 9 9 
7 2 7 3 5 6 8 
7 3 9 1 4 3 8 
8 1 2 7 7 6 7 
8 2 3 6 6 5 7 
8 3 5 4 5 3 6 
9 1 5 10 6 4 6 
9 2 9 6 3 4 5 
9 3 9 6 1 3 6 
10 1 2 8 10 6 3 
10 2 5 6 5 3 3 
10 3 6 5 5 1 2 
11 1 1 6 9 9 2 
11 2 5 6 4 8 1 
11 3 9 6 3 8 1 
12 1 4 8 7 9 10 
12 2 4 7 8 9 10 
12 3 10 6 6 7 9 
13 1 3 9 9 4 5 
13 2 7 8 6 4 4 
13 3 8 8 5 2 2 
14 1 1 8 8 5 9 
14 2 5 6 7 3 7 
14 3 7 6 6 3 4 
15 1 1 4 9 5 3 
15 2 2 3 6 5 3 
15 3 9 3 5 4 2 
16 1 1 5 6 3 4 
16 2 6 4 5 2 4 
16 3 6 2 4 3 3 
17 1 2 9 5 5 3 
17 2 3 8 5 2 2 
17 3 3 8 4 4 1 
18 1 4 8 7 7 8 
18 2 10 8 5 6 7 
18 3 10 8 7 5 8 
19 1 1 5 5 7 10 
19 2 4 2 5 6 10 
19 3 9 1 4 5 10 
20 1 2 9 6 5 10 
20 2 3 9 3 4 9 
20 3 5 7 2 3 8 
21 1 4 8 4 4 6 
21 2 8 6 4 3 4 
21 3 10 4 4 2 3 
22 1 3 4 9 9 6 
22 2 4 4 7 9 5 
22 3 10 2 6 9 4 
23 1 3 5 8 6 5 
23 2 7 5 8 6 4 
23 3 10 5 8 5 4 
24 1 4 4 9 5 9 
24 2 9 4 9 3 7 
24 3 10 4 8 3 2 
25 1 6 10 6 3 8 
25 2 8 10 6 3 6 
25 3 10 9 4 3 5 
26 1 2 6 10 5 6 
26 2 5 6 10 5 5 
26 3 9 4 10 2 4 
27 1 2 2 8 9 2 
27 2 3 2 6 6 2 
27 3 6 1 1 4 1 
28 1 1 9 10 3 5 
28 2 2 7 10 2 4 
28 3 3 6 9 1 3 
29 1 3 5 8 6 7 
29 2 3 5 8 5 8 
29 3 6 5 8 3 3 

