6 6 20

5 1 4 3 0 2 
1 0 5 2 4 3 
3 4 1 0 5 2 
3 4 1 5 2 0 
1 3 4 5 0 2 
4 2 0 3 1 5 

218 284 321 201 101 199 
296 1498  697 193 876 302 
103 928 857 766 492 490 
839 197 102 102 828 900 
587 199 513 522 306 103 
962 404 410 304 188 298 

259 313 311 191 93  211 
297 184 698 201 924 295 
105 897 880 676 451 479 
755 209 101 454 834 899 
609 210 488 517 294 99  
957 396 387 296 210 299 

663 299 286 204 97  184 
305 1252  704 186 893 298 
99  940 846 724 477 484 
813 192 100 595 761 901 
565 208 506 514 315 100 
1038  402 415 298 205 301 

461 292 324 216 107 186 
296 431 703 199 879 307 
96  860 897 669 487 510 
818 202 100 384 777 900 
572 189 490 509 296 100 
1014  403 412 305 218 299 

622 296 309 187 100 189 
295 677 697 214 904 308 
101 853 931 683 461 482 
808 206 100 1368  797 900 
631 206 493 501 292 100 
951 397 401 301 216 300 

420 287 294 189 108 197 
300 1416  702 210 921 294 
98  903 886 745 549 527 
829 203 101 524 792 900 
602 209 510 520 285 98  
1003  401 407 304 207 301 

56  308 314 211 105 214 
301 1087  696 184 918 305 
108 884 954 648 518 524 
787 200 103 876 766 901 
606 202 494 483 297 101 
968 396 413 301 191 299 

784 289 281 206 102 216 
298 595 704 191 887 303 
100 916 937 690 503 476 
792 195 100 1016  844 899 
569 211 515 491 317 102 
1032  399 404 303 182 302 

339 314 291 213 99  196 
304 20  698 218 873 306 
97  891 869 731 456 496 
776 204 97  1087  756 900 
576 205 512 493 303 103 
997 401 394 297 193 298 

137 291 289 214 104 191 
303 348 703 195 884 296 
95  959 891 662 508 513 
771 198 102 946 849 900 
628 192 509 480 313 98  
986 402 399 300 195 301 

582 301 306 208 92  187 
302 513 699 209 890 293 
92  847 852 717 472 487 
803 196 99  665 751 900 
635 194 504 512 299 101 
945 398 393 295 214 302 

97  303 284 186 98  192 
302 1169  705 207 907 305 
106 934 863 710 523 507 
766 199 98  805 772 899 
617 198 487 478 287 100 
1009  398 391 300 201 301 

299 286 319 199 91  201 
299 102 702 203 913 301 
102 878 874 634 534 501 
761 193 99  32  823 901 
620 191 496 488 283 98  
1026  401 396 296 186 298 

178 306 299 197 94  208 
298 1580  700 182 896 292 
100 841 903 703 544 516 
824 200 98  243 808 900 
613 204 491 486 304 99  
1049  404 398 297 190 300 

541 311 316 209 96  209 
300 923 700 216 916 300 
95  947 943 641 539 499 
750 201 103 1298  839 900 
624 190 501 475 308 101 
1020  397 409 303 209 300 

744 304 296 194 106 206 
297 759 701 205 901 299 
104 866 920 738 482 493 
850 208 101 735 787 899 
583 195 502 499 290 97  
1043  400 390 302 197 299 

703 294 276 184 109 194 
304 841 696 188 899 300 
93  953 914 697 466 518 
834 205 98  313 782 899 
580 203 499 507 310 102 
980 399 402 299 203 301 

380 316 279 192 103 204 
299 1334  701 197 882 295 
105 909 926 655 528 473 
797 207 97  173 803 901 
591 196 507 496 288 99  
1055  399 406 299 184 299 

16  297 304 196 100 203 
301 1005  699 212 910 304 
94  922 909 752 513 521 
782 191 102 1227  813 901 
598 197 498 525 312 102 
974 400 385 302 199 302 

501 309 301 203 95  213 
303 266 695 190 927 297 
107 872 948 759 497 504 
845 194 99  1157  818 900 
594 201 485 504 301 97  
991 403 388 298 212 300 
