20	20
63	8	50	54	58	51	93	61	50	44	29	13	15	34	22	93	27	36	76	85
34	27	20	25	37	6	57	23	14	14	83	63	24	30	4	44	62	81	37	27
93	88	21	6	84	18	96	57	3	26	40	28	70	85	36	26	5	62	68	37
57	90	93	75	14	23	4	64	52	42	85	37	39	83	40	62	64	88	95	34
28	52	26	3	37	40	95	49	9	44	7	85	98	68	5	60	79	71	28	19
22	57	91	71	41	70	59	97	83	88	38	38	32	23	78	85	88	99	80	54
56	61	95	68	59	89	49	91	40	61	63	41	12	90	71	98	91	40	28	29
98	45	61	83	50	82	42	16	77	47	13	78	84	29	3	38	85	75	76	36
77	71	31	73	12	18	99	91	78	55	17	87	5	46	21	97	91	93	94	90
39	60	38	77	84	39	85	66	99	88	92	17	76	25	86	53	79	43	78	50
92	79	3	88	27	22	8	19	11	51	5	2	67	79	84	25	43	18	74	11
23	50	41	54	24	19	84	19	37	5	25	7	31	57	1	19	67	20	48	46
87	57	12	9	49	56	88	71	77	91	97	24	68	73	29	53	34	77	58	38
48	97	91	60	89	76	50	11	19	99	91	64	67	10	36	87	97	62	62	72
24	68	62	69	9	57	90	31	42	57	18	55	88	2	75	26	30	99	4	15
9	69	97	99	81	99	72	48	22	60	10	7	82	74	33	2	93	81	8	43
40	22	79	8	49	81	17	81	62	62	16	91	18	10	63	28	76	55	57	97
12	75	1	62	53	39	26	24	15	97	77	33	96	88	68	44	24	78	36	22
26	25	98	84	3	65	38	75	94	40	54	53	64	31	78	49	54	27	88	58
44	96	7	76	49	90	65	70	74	2	16	39	85	87	81	20	56	55	1	24
