50	10
65	55	87	38	38	22	34	99	81	50	
4	99	72	19	90	63	88	59	51	99	
10	12	33	37	23	63	4	6	80	94	
87	40	50	75	59	38	98	45	55	1	
31	7	77	8	15	53	83	6	52	73	
52	8	83	63	72	73	76	27	64	58	
35	14	89	91	63	37	89	31	2	1	
89	68	90	38	48	68	22	95	59	8	
28	4	26	92	94	38	23	91	88	41	
45	63	93	25	12	10	70	94	11	97	
24	27	8	19	63	74	69	21	68	67	
68	61	86	42	46	27	30	72	16	1	
94	65	39	89	60	84	11	65	75	58	
71	7	13	80	72	65	89	41	94	73	
70	14	59	11	33	40	79	9	43	62	
2	16	99	84	50	97	29	56	23	9	
83	3	98	33	25	82	52	33	5	88	
85	31	76	42	14	98	68	98	53	6	
97	56	52	51	20	50	14	11	76	34	
65	67	43	18	50	23	99	51	60	5	
64	74	79	56	32	66	4	7	51	59	
38	59	64	83	87	56	3	94	96	16	
54	81	4	49	42	30	4	43	50	13	
26	43	19	14	70	27	33	47	38	80	
40	57	45	1	92	36	98	77	28	54	
75	11	80	23	10	19	44	89	8	96	
59	32	15	72	75	28	34	53	70	48	
38	21	43	24	57	66	13	34	51	72	
40	73	37	63	30	70	78	79	77	96	
89	75	49	15	45	79	15	85	83	91	
64	46	36	33	91	21	25	4	71	49	
84	34	33	93	20	26	35	12	41	92	
47	50	83	5	32	81	16	99	60	3	
62	47	28	78	9	61	37	80	25	45	
74	22	46	33	72	19	69	42	38	28	
38	81	71	91	11	91	82	89	97	37	
79	42	59	56	5	43	13	85	13	51	
57	4	15	99	17	34	51	46	5	96	
8	49	50	29	66	85	48	4	58	88	
46	24	53	15	17	73	53	58	22	83	
27	54	51	54	92	82	13	17	17	24	
28	29	56	46	10	15	46	98	51	58	
62	87	76	2	93	65	39	71	52	21	
34	38	48	90	36	42	1	81	15	25	
18	19	11	96	40	48	72	26	1	12	
63	65	35	93	74	28	28	80	99	85	
74	23	88	3	99	25	20	70	62	58	
26	77	59	53	86	84	90	49	72	48	
28	71	51	97	29	37	84	24	45	37	
78	90	13	51	70	88	38	41	90	3	
