20	20
92	22	87	56	73	81	88	16	58	23	12	21	25	33	84	73	43	56	44	7
9	15	97	74	56	86	19	97	84	36	95	14	34	60	8	79	35	7	77	84
11	62	38	49	95	25	32	15	89	10	47	49	36	46	72	2	26	76	1	55
67	6	86	50	35	49	98	42	97	11	98	1	61	77	71	59	48	31	27	8
14	59	18	62	24	98	80	64	36	49	99	80	42	39	38	71	43	49	2	49
50	3	56	2	69	55	47	8	51	93	57	16	95	95	28	52	58	20	49	37
2	57	1	24	70	13	68	30	43	22	42	88	66	26	59	38	15	82	9	46
3	12	94	24	59	25	21	47	56	13	51	70	52	79	35	28	18	33	14	90
5	23	54	59	60	38	74	98	29	86	24	42	20	48	70	97	26	1	6	90
70	44	92	18	42	72	37	6	96	15	62	33	98	40	44	29	96	77	96	65
8	4	19	34	54	89	28	93	40	24	73	69	79	97	93	31	42	95	85	64
92	16	76	87	34	35	56	74	66	88	88	57	88	31	76	14	23	19	4	19
58	32	89	80	50	25	83	59	74	61	50	30	39	24	61	78	80	27	70	33
47	42	77	57	78	68	48	62	32	49	61	36	42	96	61	89	7	66	95	28
39	11	95	63	51	93	56	62	89	85	57	43	13	88	14	10	71	69	19	98
96	63	58	69	60	62	19	11	4	53	97	86	48	65	80	25	18	63	11	54
57	22	39	62	76	30	95	76	8	91	92	17	86	45	97	6	67	18	18	17
48	10	22	91	92	45	19	56	55	99	85	18	91	62	4	65	91	82	46	26
65	49	81	75	93	43	73	63	7	50	94	48	83	15	91	54	89	8	93	59
20	84	75	70	73	21	99	6	37	78	5	52	19	3	55	99	73	79	77	73
